label	x	y	z
Fz	0.000	0.587	0.809
FC3	-0.469	0.469	0.750
FC1	-0.200	0.624	0.756
FCz	0.000	0.647	0.762
FC2	0.200	0.624	0.756
FC4	0.469	0.469	0.750
C5	-0.657	0.000	0.754
C3	-0.500	0.000	0.866
C1	-0.200	0.000	0.980
Cz	0.000	0.000	1.000
C2	0.200	0.000	0.980
C4	0.500	0.000	0.866
C6	0.657	0.000	0.754
CP3	-0.469	-0.469	0.750
CP1	-0.200	-0.624	0.756
CPz	0.000	-0.647	0.762
CP2	0.200	-0.624	0.756
CP4	0.469	-0.469	0.750
P1	-0.200	-0.800	0.565
Pz	0.000	-0.809	0.587
P2	0.200	-0.800	0.565
POz	0.000	-0.866	0.500
